country,origin,system,status,url
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/2SJG2hyJ/9po.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/0QPGdgX4/6658.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/XvpJbF2W/k9.png
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/52P7zGLB/654.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/D0fPPSmY/658.png
NA,Russia,T-72B3,destroyed,https://twitter.com/UAWeapons/status/1498757622211784707
NA,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/nLRctZ4r/d6.png
NA,Soviet Union,T-80BV,destroyed,https://i.postimg.cc/W4x4DFVB/54.jpg
NA,Russia,T-80U,destroyed,https://i.postimg.cc/x86mN0TW/c13.jpg
NA,Russia,T-80UK,destroyed,https://i.postimg.cc/CxNSkmyp/763.png
NA,Russia,T-80BVM,destroyed,https://i.postimg.cc/nV1GtGPL/54f.png
NA,Russia,T-90A,destroyed,https://i.postimg.cc/y6m6zVCB/525.png
NA,Russia,Unknown tank,abandoned,https://i.postimg.cc/GpG26n3R/446.png
NA,Soviet Union,BRM-1K,abandoned,https://i.postimg.cc/Y21qgqY7/7766.jpg
NA,Soviet Union,BMP-1Khs,abandoned,https://i.postimg.cc/mkwsnkyF/433.png
NA,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/1z6127Wh/h54.png
NA,Soviet Union,MT-LB with ZU-23 AA gun,abandoned,https://i.postimg.cc/vHYqqTjM/544.png
NA,Soviet Union,MT-LBM 6MB,abandoned,https://i.postimg.cc/yNdpdVtm/d1.png
NA,Soviet Union,MT-LB Ambulance,abandoned,https://i.postimg.cc/dV6Sf0SG/6hf.png
NA,Soviet Union,MT-LBu,abandoned,https://i.postimg.cc/MT7GfMmt/467.png
NA,Soviet Union,1V13 battery fire control center,abandoned,https://i.postimg.cc/yYY0Hk5C/73.jpg
NA,Soviet Union,2S1 with ZU-23 AA gun,abandoned,https://i.postimg.cc/ZRgTChvT/f24.png
NA,Soviet Union,9P149 Shturm-S ATGM carrier,abandoned,https://i.postimg.cc/SRx4st8h/46805.png
NA,Russia,R-149MA1 unified command and staff vehicle,captured,https://i.postimg.cc/P5M1XV5z/58.png
NA,Russia,R-149MA3 command and staff vehicle,captured,https://i.postimg.cc/hjqg1p15/680.png
NA,Soviet Union,1V119 artillery battalion fire direction vehicle,captured,https://i.postimg.cc/R0zbsmLL/6659.png
NA,Russia,TZM-T reloader vehicle (for TOS-1A),captured,https://i.postimg.cc/MGBV9R2s/4fs.png
NA,Soviet Union,Unknown BTR-D/BMD-2,captured,https://i.postimg.cc/1tVLvyy0/764.png
NA,Russia,Unknown AFV,captured,https://i.postimg.cc/zBSQCqs2/b5.png
NA,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/BbNYQPQc/hh6.png
NA,Soviet Union,BMP-2,captured,https://i.postimg.cc/sx950sSB/Screenshot-8457.png
NA,Soviet Union,BMP-2K,captured,https://i.postimg.cc/wTYJPs3P/Screenshot-8472.png
NA,Russia,BMP-3,captured,https://i.postimg.cc/ryRsk4jq/m1.png
NA,Soviet Union,BMD-2,captured,https://i.postimg.cc/RVc03z28/m2.png
NA,Russia,BMD-4M,captured,https://i.postimg.cc/Px6nHx7G/g33.jpg
NA,Russia,BTR-82A,captured,https://i.postimg.cc/VLGGrwbj/h652.png
NA,Soviet Union,BTR-80,captured,https://i.postimg.cc/6qszKVTq/m11.png
NA,Soviet Union,BTR-D,captured,https://i.postimg.cc/nhV2nhV4/m12.png
NA,Soviet Union,BTR-ZD 'Skrezhet',captured,https://i.postimg.cc/xTgHsLrK/13.png
NA,Russia,BTR-MDM 'Rakushka',captured,https://i.postimg.cc/R0tWzHYp/5546.jpg
NA,Russia,KamAZ-63968 'Typhoon',captured,https://i.postimg.cc/yYjcTw9v/76.png
NA,Russia,K-4386 Typhoon-VDV,captured,https://i.postimg.cc/QdBCWPqB/d19.png
NA,Russia,K-53949 Typhoon-K,captured,https://i.postimg.cc/yxYBvtqz/432.png
NA,Russia,K-53949 'Linza',captured,https://i.postimg.cc/g0ZTbDyL/Screenshot-8648.png
NA,Russia,GAZ Tigr-M,captured,https://i.postimg.cc/prrV2r2S/c1.png
NA,Italy,Iveco LMV 'Rys',captured,https://i.postimg.cc/kGHJDCGg/c2.png
NA,Russia,MP-2IM signals vehicle,captured,https://i.postimg.cc/FRzrgz2x/y1.jpg
NA,Russia,Barnaul-T 9С932-1 automated system for air defence units,captured,https://i.postimg.cc/gJPQbJYy/5546.png
NA,Russia,R-166-0.5 signals vehicle,captured,https://i.postimg.cc/C5QvvLdV/f56.png
NA,Russia,R-419L1 communications station,captured,https://i.postimg.cc/tT5WmDRj/cd.jpg
NA,Russia,Unknown communications station based on the KamAZ 6x6,captured,https://i.postimg.cc/zBynjsCc/k87.jpg
NA,Russia,Unknown communications station,captured,https://postimg.cc/LhJKL51n
NA,Soviet Union,UR-77 'Meterorit' mine clearing vehicle,captured,https://i.postimg.cc/pLnGNjf0/77600.png
NA,Soviet Union,GMZ-3 minelayer,captured,https://i.postimg.cc/tgm5kzZB/32f.png
NA,Soviet Union,BAT-2 heavy engineering vehicle,captured,https://i.postimg.cc/CxQFG5Cj/4369.png
NA,Soviet Union,BREM-1 armoured recovery vehicle,captured,https://i.postimg.cc/GpjCvqdV/54h.png
NA,Russia,BREM-K armoured recovery vehicle,captured,https://i.postimg.cc/mk6zFPwD/3256.png
NA,Soviet Union,T-64BV,destroyed,https://postimg.cc/kVDPCNz0
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/TPDQzj54/g89.png
NA,Soviet Union,T-64BV,abandoned,https://i.postimg.cc/pr29GJz8/359.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/857p1Nfy/dd25.png
