country,origin,system,status,url
Russia,Russia,T-90A,captured,https://i.postimg.cc/85Vs1vt5/v6.jpg
Russia,Russia,T-90A,captured,https://i.postimg.cc/fWVW6BwK/v8.jpg
Russia,Russia,T-90A,captured,https://i.postimg.cc/hPHLMRrc/65h.png
Russia,Russia,T-90A,captured,https://i.postimg.cc/907C3bwz/3324.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/ZYXm1v90/d1k.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/Tw5GDxqp/ff13.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/W1SsT1yQ/468.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/FKmnM11S/43fh.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/vHgrmVJg/4g.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/PxJk1gpS/4688.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/rpwWk1wR/3579.png
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/6p4GY9Zb/m6.jpg
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/cJqtzVMx/m7.jpg
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/DZnJvLMR/m8.jpg
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/DzBFGGz9/m9.jpg
Russia,Russia,Unknown tank,destroyed,https://twitter.com/UAWeapons/status/1503839555555889153
Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/WbHRhP82/89.png
Russia,Russia,Unknown tank,damaged,https://i.postimg.cc/44SFGsk4/4373.png
Russia,Russia,Unknown tank,damaged,https://i.postimg.cc/gj3F2623/541.png
Russia,Russia,Unknown tank,abandoned,https://i.postimg.cc/j23fFqPt/875.jpg
Russia,Russia,Unknown tank,abandoned,https://i.postimg.cc/L67vXhmv/541.jpg
Russia,Soviet Union,BRM-1K,destroyed,https://postimg.cc/bGSbfRQm
Russia,Soviet Union,BRM-1K,destroyed,https://i.postimg.cc/gj3KbRGG/fsl.png
Russia,Soviet Union,BRM-1K,destroyed,https://i.postimg.cc/Ss7ZV5zW/d13p.png
Russia,Soviet Union,BRM-1K,destroyed,https://i.postimg.cc/QVLrdHRK/6880.png
Russia,Soviet Union,BMP-1Khs,abandoned,https://i.postimg.cc/6qdwks4D/n7.jpg
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/2SJG2hyJ/9po.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/0QPGdgX4/6658.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/XvpJbF2W/k9.png
